filename,concept,k,column,property,columnid,kind,sub_kind
29414811_12_251152470253168163.tar.gz,VideoGame,7,release ,http://dbpedia.org/property/years,0,year,
29414811_13_8724394428539174350.tar.gz,VideoGame,1,release date,http://dbpedia.org/property/recorded,1,year,
29414811_2_4773219892816395776.tar.gz,VideoGame,8,year ,http://dbpedia.org/property/years,0,year,
29414811_6_8221428333921653560.tar.gz,VideoGame,2,released,http://dbpedia.org/property/recorded,0,year,
29857217_0_961038783966485949.tar.gz,Newspaper,0,number of transactions,,,ratio-interval,count
29857217_0_961038783966485949.tar.gz,Newspaper,0,number of journalists,,,ratio-interval,count
29886325_0_1448173912684571475.tar.gz,City,0,world rank,,,ordinal,
29886325_0_1448173912684571475.tar.gz,City,5,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
29886325_0_1448173912684571475.tar.gz,City,3,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
30166286_0_1837439231599898748.tar.gz,Scientist,0,year of earning the nobel prize in physics,,,year,
32051842_5_1757891723986774036.tar.gz,Museum,0,"facebook fans, but it is classified as the number of visitors",,,ratio-interval,count
32460905_0_5195150472060854231.tar.gz,Hospital,0,hospital id,,,nominal,random
32812626_0_5428724146873158593.tar.gz,Hospital,3,number of beds,http://dbpedia.org/property/beds,2,ratio-interval,count
32812626_0_5428724146873158593.tar.gz,Hospital,0,total number of discharges,,,ratio-interval,count
32812626_0_5428724146873158593.tar.gz,Hospital,0,patient days,,,ratio-interval,count
33242247_1_7232384061498591611.tar.gz,Election,1,number of votes,http://dbpedia.org/property/amsVotes,1,ratio-interval,count
33242247_1_7232384061498591611.tar.gz,Election,4,numbe rof seats,http://dbpedia.org/property/seats%25_,4,ratio-interval,count
3389822_6_374624044314151266.tar.gz,Mountain,0,no idea what is that,,,,
3389822_6_374624044314151266.tar.gz,Mountain,2,elevation,http://dbpedia.org/ontology/elevation,2,ratio-interval,other
34041816_1_4749054164534706977.tar.gz,Airport,5,number of passengers,http://dbpedia.org/ontology/passengersPerYear,4,ratio-interval,count
34899692_0_6530393048033763438.tar.gz,Country,0,rate of the bank (of the currency),,,ratio-interval,other
34899692_0_6530393048033763438.tar.gz,Country,0,selling rate (of the currency),,,ratio-interval,other
35188621_0_6058553107571275232.tar.gz,Film,0,Fans' rank,,,ordinal,
35188621_0_6058553107571275232.tar.gz,Film,1,Release year,http://dbpedia.org/property/released,2,year,
35188621_0_6058553107571275232.tar.gz,Film,0,Overall rank,,,ordinal,
36039980_4_4283009829602711082.tar.gz,Mountain,0,"no idea, could be the prominence as it almost matched one",,,,
36039980_4_4283009829602711082.tar.gz,Mountain,4,height,http://dbpedia.org/ontology/maximumElevation,2,ratio-interval,other
36102169_0_7739454799295072814.tar.gz,VideoGame,0,sold units in mil,,,ratio-interval,count
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,0,rank,,,ordinal,
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,0,years,,,year,
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,5,start year,http://dbpedia.org/property/startyear,3,year,
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,2,end/final year,http://dbpedia.org/property/finalyear,4,year,
37856682_0_6818907050314633217.tar.gz,AdministrativeRegion,0,area in square miles,,,ratio-interval,other
38428277_0_1311643810102462607.tar.gz,Film,0,fans' rank,,,ordinal,
38428277_0_1311643810102462607.tar.gz,Film,1,year,http://dbpedia.org/property/released,2,year,
38428277_0_1311643810102462607.tar.gz,Film,0,overall rank,,,ordinal,
3887681_0_7938589465814037992.tar.gz,Lake,1,Building start year,http://dbpedia.org/ontology/buildingStartDate,3,year,
39107734_2_2329160387535788734.tar.gz,Airport,0,rank,,,ordinal,
39107734_2_2329160387535788734.tar.gz,Airport,7,passengers,http://dbpedia.org/ontology/passengersPerYear,4,ratio-interval,count
39107734_2_2329160387535788734.tar.gz,Airport,0,"rank change, seems to be the number of changes",,,ratio-interval,count
3917335_0_7791699395300625164.tar.gz,Country,5,area,http://dbpedia.org/property/statArea,2,ratio-interval,other
3917335_0_7791699395300625164.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,3,ratio-interval,count
39173938_0_7916056990138658530.tar.gz,Film,0,rank,,,ordinal,
39173938_0_7916056990138658530.tar.gz,Film,2,released,http://dbpedia.org/property/released,2,year,
39173938_0_7916056990138658530.tar.gz,Film,0,overall rank,,,ordinal,
39606331_0_1646213676302448706.tar.gz,PoliticalParty,0,funding ,,,ratio-interval,other
39606331_0_1646213676302448706.tar.gz,PoliticalParty,0,funding ,,,ratio-interval,other
39606331_0_1646213676302448706.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
39650055_5_7135804139753401681.tar.gz,Company,0,company value in 2006,,,ratio-interval,other
39759273_0_1427898308030295194.tar.gz,Film,2,publication year,http://dbpedia.org/property/pubDate,2,year,
39759273_0_1427898308030295194.tar.gz,Film,0,IMDB rating,,,ratio-interval,other
39759273_0_1427898308030295194.tar.gz,Film,1,IMDB votes,http://dbpedia.org/property/imdb,5,ratio-interval,count
40534006_0_4617468856744635526.tar.gz,Wrestler,0,number of reigns,,,ratio-interval,count
40534006_0_4617468856744635526.tar.gz,Wrestler,0,Jours combin?s no idea what that means,,,,
40844462_1_6230938203735169234.tar.gz,Film,2,release date,http://dbpedia.org/property/pubDate,2,year,
40844462_1_6230938203735169234.tar.gz,Film,0,"review year, but the year is represented as yyyymmdd without separators",,,year,
41194422_0_7231546114369966811.tar.gz,Country,1,rank,http://dbpedia.org/property/populationDensityRank,0,ordinal,
41194422_0_7231546114369966811.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,2,ratio-interval,count
41194422_1_1172256090552737974.tar.gz,Country,3,population estimate rank,http://dbpedia.org/property/populationEstimateRank,0,ordinal,
41194422_1_1172256090552737974.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,2,ratio-interval,count
41336118_0_4331895026409635103.tar.gz,Company,0,sales in bil,,,ratio-interval,other
41336118_0_4331895026409635103.tar.gz,Company,0,profits bil,,,ratio-interval,other
41336118_0_4331895026409635103.tar.gz,Company,0,assets,,,ratio-interval,other
41336118_0_4331895026409635103.tar.gz,Company,0,market value,,,ratio-interval,other
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,,ratio-interval,other
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,,ratio-interval,other
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,,ratio-interval,other
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,,ratio-interval,other
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,,ratio-interval,other
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,,ratio-interval,other
41819807_0_3139249984404131679.tar.gz,Lake,7,area,http://dbpedia.org/ontology/Lake/areaOfCatchment,2,ratio-interval,other
41839679_0_3009344178474568371.tar.gz,Monarch,0,no idea,,,,
42764224_0_515744189130384109.tar.gz,PoliticalParty,0,no idea,,,,
42764224_0_515744189130384109.tar.gz,PoliticalParty,0,no idea,,,,
42764224_0_515744189130384109.tar.gz,PoliticalParty,0,no idea,,,,
43237185_1_3636357855502246981.tar.gz,Scientist,0,year of PhD,,,year,
43469354_0_6029017163991310319.tar.gz,City,0,world rank,,,ordinal,
43469354_0_6029017163991310319.tar.gz,City,7,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
43469354_0_6029017163991310319.tar.gz,City,4,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
44005578_0_5400481538370055338.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
44005578_0_5400481538370055338.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
44005578_0_5400481538370055338.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
44206774_0_3810538885942465703.tar.gz,GolfPlayer,1,number of major wins,http://dbpedia.org/property/majorwins,2,ratio-interval,count
44206774_0_3810538885942465703.tar.gz,GolfPlayer,6,total of wins,http://dbpedia.org/property/jlpgawins,4,ratio-interval,count
44206774_0_3810538885942465703.tar.gz,GolfPlayer,0,money,,,ratio-interval,other
4444204_0_951426790527152756.tar.gz,City,0,"World rank, but no idea what is this",,,ordinal,
4444204_0_951426790527152756.tar.gz,City,4,city population   ,http://dbpedia.org/ontology/populationMetro,3,ratio-interval,count
4444204_0_951426790527152756.tar.gz,City,2,population metro,http://dbpedia.org/ontology/populationUrban,4,ratio-interval,count
4501311_8_8306082458935575308.tar.gz,VideoGame,0,rank,,,ordinal,
45073662_0_3179937335063201739.tar.gz,BaseballPlayer,0,rank,,,ordinal,
45073662_0_3179937335063201739.tar.gz,BaseballPlayer,0,Total bases,,,ratio-interval,count
45593932_0_6869375743660252130.tar.gz,Scientist,0,year of receiving the nobel prize,,,year,
4730513_0_8573199053866072336.tar.gz,Scientist,0,year for the best discovery of this scientist,,,year,
48944826_0_2321751364268052533.tar.gz,VideoGame,0,no idea,,,,
49087820_0_461228320225084868.tar.gz,Currency,1,iso number,http://dbpedia.org/property/isoNumber,3,nominal,random
49772588_0_6549847739640234347.tar.gz,Country,0,catholics,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,2,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,doicesan,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,doicesan priests,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,religious priests,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,total priests,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,permanent deacons,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,male religious,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,female religious,,,ratio-interval,count
49772588_0_6549847739640234347.tar.gz,Country,0,parishes,,,ratio-interval,count
49801939_0_6964113429298874283.tar.gz,Mountain,3,height,http://dbpedia.org/property/elevation,1,ratio-interval,other
50245608_0_871275842592178099.tar.gz,Film,1,year,http://dbpedia.org/ontology/foundingYear,1,year,
50245608_0_871275842592178099.tar.gz,Film,6,length,http://dbpedia.org/property/length,5,ratio-interval,other
50270082_0_444360818941411589.tar.gz,BaseballPlayer,0,rank,,,ordinal,
50270082_0_444360818941411589.tar.gz,BaseballPlayer,0,number of wins,,,ratio-interval,count
52208141_2_5171684379987586712.tar.gz,Museum,0,rang (some kind of order or sequest),,,ordinal,
52208141_2_5171684379987586712.tar.gz,Museum,0,facebook fans  ,,,ratio-interval,count
52299421_0_4473286348258170200.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,6,ratio-interval,count
52299421_0_4473286348258170200.tar.gz,Country,0,infant mortality,,,ratio-interval,count
52572391_0_8684896999787304275.tar.gz,Company,0,no idea,,,,
53583534_0_503521622577229691.tar.gz,Building,0,number of floors,,,ratio-interval,count
53822652_0_5767892317858575530.tar.gz,Film,1,released,http://dbpedia.org/property/relyear,2,year,
53989675_0_8697482470743954630.tar.gz,Lake,1,area of catchment,http://dbpedia.org/ontology/Lake/areaOfCatchment,2,ratio-interval,other
53989675_0_8697482470743954630.tar.gz,Lake,0,Category (no idea what is that),,,nominal,categorical
54719588_0_8417197176086756912.tar.gz,Film,0,order from the newest to oldest,,,ordinal,
54719588_0_8417197176086756912.tar.gz,Film,3,release date,http://dbpedia.org/property/pubDate,6,year,
54719588_0_8417197176086756912.tar.gz,Film,1,"could be, but not sure",http://dbpedia.org/ontology/deathYear,6,year,
54773498_0_4341462266113591159.tar.gz,Building,0,The height of the building in meters,,,ratio-interval,other
54773498_0_4341462266113591159.tar.gz,Building,0,The height of the building in feets,,,ratio-interval,other
55961337_0_6548713781034932742.tar.gz,Currency,1,ison number ,55961337_0_6548713781034932742.tar.gz,3,nominal,random
56224555_0_3713922722778385817.tar.gz,Company,0,rank,,,ordinal,
56224555_0_3713922722778385817.tar.gz,Company,0,sales in bil,,,ratio-interval,other
56224555_0_3713922722778385817.tar.gz,Company,0,profits in bil,,,ratio-interval,other
56224555_0_3713922722778385817.tar.gz,Company,0,assets in bil,,,ratio-interval,other
56224555_0_3713922722778385817.tar.gz,Company,0,market value in bil,,,ratio-interval,other
57938705_0_8737506792349461963.tar.gz,VideoGame,0,"pos, some kingd of sequence",,,ordinal,
57938705_0_8737506792349461963.tar.gz,VideoGame,2,production date,http://dbpedia.org/property/productionDate,3,year,
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,,,
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,,,
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,,,
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,,,
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,,,
58891288_0_1117541047012405958.tar.gz,Film,0,Rank,,,ordinal,
58891288_0_1117541047012405958.tar.gz,Film,2,released,http://dbpedia.org/property/released,2,year,
58891288_0_1117541047012405958.tar.gz,Film,0,overall rank,,,ordinal,
5972322_0_3150366936082777235.tar.gz,Election,5,votes,http://dbpedia.org/property/votes,1,ratio-interval,count
5972322_0_3150366936082777235.tar.gz,Election,3,number of seats,http://dbpedia.org/property/ukSeats,3,ratio-interval,count
61069974_0_1894536874590565102.tar.gz,Currency,1,iso number ,http://dbpedia.org/property/isoNumber,3,nominal,random
61626303_0_266372209664087642.tar.gz,RadioStation,1,frequencies,http://dbpedia.org/property/formerFrequencies,3,ratio-interval,other
61626303_0_266372209664087642.tar.gz,RadioStation,3,frequencies,http://dbpedia.org/property/formerFrequencies,4,ratio-interval,other
61753761_9_4735181228515289890.tar.gz,Museum,0,rang (some kind of order or sequest),,,ordinal,
61753761_9_4735181228515289890.tar.gz,Museum,0,number of facebook fans,,,ratio-interval,count
64499281_8_7181683886563136802.tar.gz,Museum,0,rang (some kind of order or sequest),,,ordinal,
64499281_8_7181683886563136802.tar.gz,Museum,0,facebook fans  ,,,ratio-interval,count
64734047_0_5880705307495695536.tar.gz,Hospital,0,number of patients,,,ratio-interval,count
66009064_0_9148652238372261251.tar.gz,BaseballPlayer,0,"It is a year, but I have no idea what it represents. Nonetheless it is classified as a year",,,year,
66329615_0_3585856495110277641.tar.gz,VideoGame,1,released,http://dbpedia.org/property/recorded,0,year,
67865873_0_8259587610208037357.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,2,ratio-interval,count
6869358_0_1379459120563510331.tar.gz,Novel,0,rank,,,ordinal,
6869358_0_1379459120563510331.tar.gz,Novel,0,publication year,,,year,
68779923_0_3859283110041832023.tar.gz,Country,7,founding/independence year,http://dbpedia.org/ontology/foundingYear,1,year,
68779923_1_3240042497463101224.tar.gz,Country,5,independent year,http://dbpedia.org/property/created,1,year,
68779923_2_1000046510804975562.tar.gz,Country,1,year of change,http://dbpedia.org/property/yearDeputy,1,year,
68779923_5_2067037721454758189.tar.gz,Country,1,declared/ deputy,http://dbpedia.org/property/created,1,year,
69381058_0_984708047398578866.tar.gz,Mountain,0,height in thousands of meters,,,ratio-interval,other
69537082_0_7789694313271016902.tar.gz,Country,3,population rank,http://dbpedia.org/property/populationEstimateRank,0,ordinal,
69537082_0_7789694313271016902.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,2,ratio-interval,count
69881946_0_1105130426898457358.tar.gz,Film,0,Fans' rank,,,ratio-interval,count
69881946_0_1105130426898457358.tar.gz,Film,1,years,http://dbpedia.org/property/released,2,year,
69881946_0_1105130426898457358.tar.gz,Film,0,overall rank,,,ordinal,
70404164_0_5498195978476333642.tar.gz,City,0,world rank,,,ordinal,
70404164_0_5498195978476333642.tar.gz,City,4,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
70404164_0_5498195978476333642.tar.gz,City,3,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
70883081_0_5357790421435123524.tar.gz,PoliticalParty,0,no idea,,,,
70883081_0_5357790421435123524.tar.gz,PoliticalParty,0,no idea,,,,
70883081_0_5357790421435123524.tar.gz,PoliticalParty,0,no idea,,,,
72017594_0_7055198579167316152.tar.gz,Museum,1,number of visitors 2009,http://dbpedia.org/ontology/numberOfVisitors,2,ratio-interval,count
72017594_0_7055198579167316152.tar.gz,Museum,1,number of visitors 2010,http://dbpedia.org/ontology/numberOfVisitors,3,ratio-interval,count
72017594_0_7055198579167316152.tar.gz,Museum,0,no idea,,,,
73242003_5_4847571983313033360.tar.gz,VideoGame,0,rank,,,ordinal,
73988811_0_2775758476756716904.tar.gz,Film,1,"release date, we considered first aired to be an accebtable guess ",http://dbpedia.org/property/firstAired,2,year,
75154185_0_1607627349983289012.tar.gz,City,0,"World rank, but no idea what is this",,,ordinal,
75154185_0_1607627349983289012.tar.gz,City,4,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
75154185_0_1607627349983289012.tar.gz,City,2,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
76275868_0_4528346580716713695.tar.gz,Country,2,population  ,http://dbpedia.org/ontology/populationTotal,1,ratio-interval,count
76275868_0_4528346580716713695.tar.gz,Country,0,life expentency in years,,,ratio-interval,count
76275868_0_4528346580716713695.tar.gz,Country,0,IQ level,,,ratio-interval,other
76373906_0_6904594838446307331.tar.gz,PoliticalParty,0,I don't know,,,,
76373906_0_6904594838446307331.tar.gz,PoliticalParty,0,I don't know,,,,
76373906_0_6904594838446307331.tar.gz,PoliticalParty,0,I don't know,,,,
77632062_0_2292892375652659825.tar.gz,City,0,World rank of something that is not clear,,,ordinal,
77632062_0_2292892375652659825.tar.gz,City,4,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
77632062_0_2292892375652659825.tar.gz,City,2,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
77694908_0_6083291340991074532.tar.gz,Film,0,Fans' rank,,,ordinal,
77694908_0_6083291340991074532.tar.gz,Film,2,Release date,http://dbpedia.org/property/released,2,year,
77694908_0_6083291340991074532.tar.gz,Film,0,overall rank,,,ordinal,
78891639_0_3299957631631122948.tar.gz,City,0,world rank,,,ordinal,
78891639_0_3299957631631122948.tar.gz,City,4,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
78891639_0_3299957631631122948.tar.gz,City,2,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
8009320_0_5507755752653817624.tar.gz,Country,1,population density,http://dbpedia.org/ontology/populationDensity,1,ratio-interval,other
8009320_0_5507755752653817624.tar.gz,Country,1,area,http://dbpedia.org/property/statArea,2,ratio-interval,other
8009320_0_5507755752653817624.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,3,ratio-interval,count
80588006_0_6965325215443683359.tar.gz,Newspaper,0,no idea,,,,
84548468_0_5955155464119382182.tar.gz,Film,0,fans' rank,,,ordinal,
84548468_0_5955155464119382182.tar.gz,Film,3,release date,http://dbpedia.org/property/released,2,year,
84548468_0_5955155464119382182.tar.gz,Film,0,overall rank,,,ordinal,
84575189_0_6365692015941409487.tar.gz,AcademicJournal,0,number of citations,,,ratio-interval,count
8468806_0_4382447409703007384.tar.gz,Lake,0,rang (some kind of order or sequest),,,ordinal,
8468806_0_4382447409703007384.tar.gz,Lake,6,area,http://dbpedia.org/ontology/Lake/areaOfCatchment,3,ratio-interval,other
8468806_0_4382447409703007384.tar.gz,Lake,0,no idea,,,,
8468806_0_4382447409703007384.tar.gz,Lake,0,depth,,,ratio-interval,other
86297395_0_6919201319699354263.tar.gz,Country,1,area,http://dbpedia.org/property/statArea,1,ratio-interval,other
86297395_0_6919201319699354263.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,4,ratio-interval,count
86627271_6_2239821927452848323.tar.gz,Lake,2,area total,http://dbpedia.org/ontology/Lake/areaOfCatchment,1,ratio-interval,other
86627271_6_2239821927452848323.tar.gz,Lake,2,area net,http://dbpedia.org/ontology/Lake/areaOfCatchment,2,ratio-interval,other
86627271_6_2239821927452848323.tar.gz,Lake,2,altitude/ elevation,http://dbpedia.org/property/height,3,ratio-interval,other
88353875_0_4876234304797064286.tar.gz,Mountain,0,elevation in m,,,ratio-interval,other
